,time,type
0,2,retweet
1,3,retweet
2,3,retweet
3,4,retweet
4,5,retweet
5,7,retweet
6,10,retweet
7,10,retweet
8,10,retweet
9,11,retweet
10,11,retweet
11,11,reply
12,12,retweet
13,13,retweet
14,13,reply
15,13,retweet
16,14,retweet
17,17,retweet
18,17,retweet
19,17,retweet
20,19,retweet
21,19,retweet
22,21,retweet
23,22,retweet
24,23,retweet
25,24,retweet
26,24,retweet
27,24,retweet
28,25,retweet
29,26,message
30,28,retweet
31,29,retweet
32,29,message
33,31,retweet
34,31,reply
35,31,retweet
36,32,retweet
37,32,retweet
38,33,retweet
39,35,retweet
40,36,retweet
41,37,reply
42,42,reply
43,43,reply
44,46,retweet
45,47,retweet
46,48,retweet
47,49,retweet
48,50,retweet
49,54,retweet
50,54,retweet
51,57,retweet
52,57,message
53,59,retweet
54,60,retweet
55,61,retweet
56,61,retweet
57,63,retweet
58,63,retweet
59,64,retweet
60,65,retweet
61,65,retweet
62,67,retweet
63,69,retweet
64,69,retweet
65,71,retweet
66,72,retweet
67,72,retweet
68,74,reply
69,78,retweet
70,81,retweet
71,84,retweet
72,84,reply
73,87,retweet
74,88,retweet
75,88,retweet
76,90,retweet
77,91,reply
78,91,retweet
79,92,reply
80,95,retweet
81,96,retweet
82,97,reply
83,99,retweet
84,100,retweet
85,103,retweet
86,103,retweet
87,103,retweet
88,104,retweet
89,105,retweet
90,106,retweet
91,106,retweet
92,110,retweet
93,110,retweet
94,111,reply
95,112,reply
96,113,reply
97,113,retweet
98,113,retweet
99,114,retweet
100,114,retweet
101,114,retweet
102,115,retweet
103,118,retweet
104,119,retweet
105,121,retweet
106,121,retweet
107,122,reply
108,123,reply
109,125,reply
110,126,retweet
111,127,retweet
112,128,reply
113,130,retweet
114,130,retweet
115,130,retweet
116,131,retweet
117,132,reply
118,132,retweet
119,133,retweet
120,136,retweet
121,137,retweet
122,137,reply
123,139,retweet
124,139,retweet
125,140,reply
126,141,retweet
127,141,retweet
128,141,reply
129,142,retweet
