node,edge,role
0,0,2
1,0,3
2,1,2
3,1,3
4,2,2
5,2,3
6,3,2
7,3,3
4,4,2
5,4,3
0,5,2
8,5,3
4,6,2
5,6,3
9,7,2
10,7,3
9,8,2
11,8,3
9,9,2
12,9,3
2,10,2
13,10,3
14,11,0
15,11,1
4,12,2
5,12,3
0,13,2
16,13,3
17,14,0
18,14,1
19,15,2
20,15,3
4,16,2
5,16,3
21,17,2
22,17,3
4,18,2
5,18,3
2,19,2
23,19,3
4,20,2
5,20,3
9,21,2
24,21,3
4,22,2
5,22,3
4,23,2
5,23,3
25,24,2
26,24,3
9,25,2
27,25,3
28,26,2
29,26,3
9,27,2
30,27,3
4,28,2
5,28,3
31,29,0
32,29,1
33,29,1
34,29,1
4,30,2
5,30,3
4,31,2
5,31,3
35,32,0
36,32,1
4,33,2
5,33,3
37,34,0
38,34,1
39,34,1
9,35,2
40,35,3
41,36,2
42,36,3
0,37,2
43,37,3
4,38,2
5,38,3
4,39,2
5,39,3
44,40,2
45,40,3
15,41,0
46,41,1
47,42,0
48,42,1
49,43,0
50,43,1
51,43,1
52,43,1
4,44,2
5,44,3
6,45,2
7,45,3
4,46,2
5,46,3
53,47,2
54,47,3
55,48,2
56,48,3
57,49,2
58,49,3
41,50,2
42,50,3
59,51,2
60,51,3
61,52,0
34,52,1
55,53,2
62,53,3
41,54,2
42,54,3
4,55,2
5,55,3
6,56,2
7,56,3
4,57,2
5,57,3
2,58,2
63,58,3
57,59,2
64,59,3
4,60,2
5,60,3
25,61,2
65,61,3
4,62,2
5,62,3
4,63,2
5,63,3
9,64,2
66,64,3
6,65,2
7,65,3
4,66,2
5,66,3
9,67,2
67,67,3
68,68,0
69,68,1
70,69,2
71,69,3
4,70,2
5,70,3
4,71,2
5,71,3
72,72,0
73,72,1
74,73,2
75,73,3
4,74,2
5,74,3
21,75,2
76,75,3
4,76,2
5,76,3
51,77,0
49,77,1
50,77,1
52,77,1
70,78,2
77,78,3
49,79,0
78,79,1
51,79,1
4,80,2
5,80,3
9,81,2
79,81,3
80,82,0
81,82,1
4,83,2
5,83,3
21,84,2
82,84,3
83,85,2
84,85,3
4,86,2
5,86,3
85,87,2
86,87,3
87,88,2
88,88,3
9,89,2
89,89,3
80,90,2
90,90,3
6,91,2
7,91,3
91,92,2
92,92,3
4,93,2
5,93,3
55,94,0
62,94,1
93,94,1
94,94,1
95,94,1
96,94,1
97,95,0
98,95,1
99,96,0
100,96,1
4,97,2
5,97,3
9,98,2
101,98,3
25,99,2
102,99,3
103,100,2
104,100,3
105,101,2
106,101,3
87,102,2
107,102,3
6,103,2
7,103,3
4,104,2
5,104,3
4,105,2
5,105,3
108,106,2
109,106,3
110,107,0
100,107,1
83,108,0
111,108,1
112,109,0
113,109,1
4,110,2
5,110,3
87,111,2
114,111,3
115,112,0
116,112,1
91,113,2
117,113,3
9,114,2
89,114,3
9,115,2
118,115,3
119,116,2
120,116,3
121,117,0
122,117,1
123,117,1
21,118,2
124,118,3
125,119,2
126,119,3
119,120,2
127,120,3
9,121,2
89,121,3
51,122,0
49,122,1
78,122,1
85,123,2
128,123,3
6,124,2
7,124,3
129,125,0
100,125,1
130,126,2
131,126,3
119,127,2
132,127,3
133,128,0
100,128,1
21,129,2
134,129,3
9,130,2
89,130,3
9,131,2
89,131,3
87,132,2
90,132,3
135,133,2
90,133,3
136,134,2
137,134,3
138,135,0
100,135,1
139,135,1
119,136,2
140,136,3
80,137,2
62,137,3
136,138,2
141,138,3
135,139,2
142,139,3
143,140,0
144,140,1
9,141,2
145,141,3
87,142,2
146,142,3
103,143,2
147,143,3
136,144,2
148,144,3
38,145,0
37,145,1
119,146,2
149,146,3
130,147,2
150,147,3
151,148,2
152,148,3
9,149,2
89,149,3
153,150,2
154,150,3
0,151,2
155,151,3
156,152,0
34,152,1
80,153,2
56,153,3
119,154,2
157,154,3
158,155,2
159,155,3
160,156,0
122,156,1
123,156,1
161,157,0
